Data Size, Merge Sort Time (ns), Quick Sort Time (ns), Select Time (ns)
10,2302.8,8788.5,283.8
100,8275.9,82570.3,2132.9
1000,82172.9,832679.9,14818.5
10000,917522.0,9385579.0,190610.3
100000,11336672.9,69206511.3,884819.2
1000000,94197967.5,720224920.1,10814990.1
