Algorithm,500,10000,50000,100000
Selection(ms):,0.2370,47.9080,1132.8540,4549.5740
Insertion(ms):,0.1400,34.3240,798.1430,3152.3490
Bubble(ms):,0.5110,114.7200,4559.6790,18929.3780
Quick(ms):,0.0330,0.6480,3.5450,7.4230
Merge(ms):,0.0570,0.9670,5.5240,11.6890
Heap(ms):,0.0580,1.2110,7.2820,15.7720
